policy_id	display_name	excludeGroups	includeGroups	excludeRoles	authenticationStrength_id	state	goal
04b969aa-3e98-4e0f-8b32-2319b199b56a	IAC - GLOBAL – SESSION – Admin Persistence (4 Hours)	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabled	admin-session
ea9459a9-91b6-4d2b-b929-03781ac81d54	IAC - GLOBAL – SESSION – All Users Persistence (9-12 Hours)	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	all-users-no-persistence
660ab461-0de5-4b00-baea-ec7325280f60	IAC - INTUNE - GRANT - RequireCompliantDevice	2d25c298-555e-4f26-9984-90dfb7eae325;62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	require-managed-device
aeb49474-5250-4b65-8b0a-56c47127ee0f	IAC - INTUNE – GRANT – Device Registration - MFA Strength	2d25c298-555e-4f26-9984-90dfb7eae325;62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9;5628ad67-f9d1-4495-abe3-99dc8f9074f1			42de22a7-5339-4a58-b560-28565d53b14d	enabledForReportingButNotEnforced	device-registration-mfa
a6b3b754-9079-48f0-abb2-9e79b2f41095	IAC - P2 - APP - SESSION - PIM - Reauthentication	b63c3682-06c6-45f0-9692-ee76b604b4f9			42de22a7-5339-4a58-b560-28565d53b14d	enabledForReportingButNotEnforced	pim-activation-reauth
768858bd-a5ad-47de-8acb-5e815cde0857	IAC - P2 - GLOBAL - BLOCK - RiskyUsers - RegisterSecurityInfo	b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
bb6a814e-808a-467c-9475-06f89140ce99	IAC - P2 - GLOBAL - GRANT - EAM - High-Risk Users - Risk Remediation	b63c3682-06c6-45f0-9692-ee76b604b4f9;5628ad67-f9d1-4495-abe3-99dc8f9074f1	8d0564e5-ab28-4283-9a94-9883c581adde			enabled	
53a8df0b-4658-4835-ace2-100b5d287aac	IAC - P2 - GLOBAL - GRANT - High-Risk Sign-Ins	b63c3682-06c6-45f0-9692-ee76b604b4f9			42de22a7-5339-4a58-b560-28565d53b14d	enabledForReportingButNotEnforced	sign-in-risk
544cd9ef-5e37-4568-9ad8-b8e151be1814	IAC - P2 - GLOBAL - GRANT - High-Risk Users - Risk Remediation	5628ad67-f9d1-4495-abe3-99dc8f9074f1;8d0564e5-ab28-4283-9a94-9883c581adde			42de22a7-5339-4a58-b560-28565d53b14d	enabled	user-risk
180ab5a3-d3ae-4457-9ef1-e3c06f5dfbfc	IAC - P2 - GLOBAL - GRANT - Medium-Risk Sign-Ins	b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	sign-in-risk-medium
7475b373-0544-4ee8-8827-cff35009136d	IAC - P2 - GLOBAL - GRANT - Medium-Risk Users	b63c3682-06c6-45f0-9692-ee76b604b4f9;5628ad67-f9d1-4495-abe3-99dc8f9074f1			42de22a7-5339-4a58-b560-28565d53b14d	enabled	user-risk-medium
	IAC - WORKLOAD - BLOCK - EntraConnectIDSync - ExcludeEntraConnectIP					enabledForReportingButNotEnforced	
fafaa50c-0b61-4ac6-a589-f9a1120b2f9e	IAC - ZTCA - GLOBAL – BLOCK – Admin Portal	62d67e66-2bc9-43cd-b00c-6326dae53d18;e663a7ce-daec-4062-88b8-5970bfec8019;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	admin-portals-protected
2dd84b12-7900-40f0-b192-027c20aaa83f	IAC - ZTCA - INTUNE - BLOCK - AllApps - ExcludeTrustedLocation	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
8417ec17-17f5-44c1-b937-85b1917f5d9e	IAC- ZTCA - GLOBAL - BLOCK - AllApps -Exclude CA-Global	62d67e66-2bc9-43cd-b00c-6326dae53d18;e663a7ce-daec-4062-88b8-5970bfec8019;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
